id,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification (grade),Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,GDP,Target
109720,1,1,9085,1,123.0,124.1,1,0,1,0,0,20,0,6,9,6,14.333333333333334,0,6,9,3,12.666666666666666,9.4,-3.12,Graduate
1807,1,4,9500,1,141.0,126.3,1,0,1,0,1,19,0,8,8,7,12.82875,0,8,8,7,12.82875,10.8,1.74,Graduate
16380,7,1,9853,1,130.0,130.0,1,1,0,0,0,25,0,6,12,1,10.0,0,6,12,0,0.0,12.7,-1.7,Dropout
53665,39,1,8014,0,130.0,161.9,0,0,1,0,1,34,0,6,7,6,14.714285714285714,0,6,6,6,12.833333333333334,13.9,0.79,Graduate
70706,17,4,9238,1,126.0,119.0,1,0,1,0,1,18,0,6,6,6,13.166666666666666,0,6,8,6,13.142857142857142,12.4,1.79,Graduate
125846,1,1,9254,1,141.0,138.6,0,0,1,0,0,20,0,6,8,6,13.428571428571429,0,6,8,6,12.833333333333334,12.4,1.79,Graduate
63005,1,1,9991,0,120.0,113.3,0,0,1,1,1,26,0,5,7,4,14.0,0,5,6,5,13.0,10.8,1.74,Graduate
317,1,1,9500,1,149.0,139.8,0,0,1,0,0,18,0,8,8,7,14.4,0,8,8,7,14.6,12.7,-1.7,Graduate
30635,44,1,9003,1,130.0,130.0,0,1,1,0,0,20,0,6,13,4,11.5,0,6,15,2,10.0,12.4,1.79,Enrolled
50035,39,1,9238,1,133.1,130.0,1,0,1,1,0,27,0,6,0,0,0.0,0,5,0,0,0.0,16.2,-0.92,Dropout
28135,1,1,9254,1,141.0,132.9,0,0,1,0,1,18,0,6,8,6,13.166666666666666,0,6,8,5,12.0,13.9,0.79,Graduate
39656,39,1,9991,0,120.0,143.0,0,0,1,1,1,28,0,5,6,4,12.333333333333334,0,5,7,3,10.666666666666666,13.9,0.79,Enrolled
68640,7,1,9003,1,120.0,120.0,1,0,1,1,0,27,13,18,21,18,11.421052631578949,10,13,16,13,11.076923076923077,15.5,-4.06,Graduate
117343,1,1,9147,1,130.0,124.8,1,0,1,1,0,19,0,5,8,3,11.666666666666666,0,5,7,1,13.0,9.4,-3.12,Graduate
81043,18,1,9670,1,122.0,116.1,1,0,1,1,0,19,0,5,5,0,0.0,0,5,5,0,0.0,9.4,-3.12,Graduate
22509,1,4,9500,1,133.1,117.9,1,0,1,0,1,19,0,7,7,6,12.1375,0,8,11,8,12.91111111111111,15.5,-4.06,Graduate
38656,1,2,9670,1,131.0,127.9,1,0,1,0,0,18,0,5,5,5,12.0,0,5,5,5,13.2,9.4,-3.12,Graduate
4704,39,1,9991,0,131.0,118.1,0,0,1,0,0,28,0,5,10,4,12.75,0,5,5,5,12.0,16.2,-0.92,Graduate
10999,1,3,9500,1,140.0,125.5,1,0,1,0,1,19,0,8,8,7,14.232857142857142,0,8,8,7,14.232857142857142,10.8,1.74,Graduate
81880,17,6,9500,1,146.0,130.3,1,0,1,0,0,18,0,8,8,8,13.74625,0,8,8,8,13.74625,12.7,-1.7,Graduate
58874,44,1,9003,1,130.0,130.0,1,0,1,0,0,20,0,6,11,6,11.285714285714286,0,6,10,5,13.2,15.5,-4.06,Graduate
61908,17,5,9500,1,135.0,128.8,1,0,1,0,1,19,0,7,7,7,14.428571428571429,0,7,7,7,14.571428571428571,13.9,0.79,Graduate
18900,1,3,9500,1,137.0,124.3,1,0,1,0,1,19,0,7,7,7,14.071428571428571,0,7,7,7,14.071428571428571,12.4,1.79,Graduate
34135,17,4,9254,1,117.0,118.7,1,0,1,0,1,19,0,6,8,6,11.0,0,6,11,3,12.666666666666666,9.4,-3.12,Graduate
64625,39,1,8014,0,150.0,100.0,1,0,1,0,0,31,0,6,6,6,13.666666666666666,0,6,6,6,13.833333333333334,7.6,0.32,Graduate
77128,17,2,9853,1,141.0,130.4,1,0,1,0,1,20,0,7,9,6,12.857142857142858,0,7,8,6,13.0,11.1,2.02,Graduate
74254,1,1,9853,1,133.0,121.3,1,0,1,0,0,18,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06,Dropout
85212,17,1,9238,1,145.0,132.5,0,0,1,0,1,19,0,6,7,6,12.333333333333334,0,6,9,6,11.333333333333334,12.7,-1.7,Graduate
88702,17,1,9500,1,141.0,124.8,0,0,0,1,0,18,0,8,10,7,12.514285714285716,0,8,10,7,12.514285714285716,12.7,-1.7,Graduate
77561,43,2,9085,1,133.1,128.2,0,0,1,0,0,24,0,6,21,5,12.0,0,10,19,9,12.555555555555555,10.8,1.74,Graduate
48804,1,1,9085,1,129.0,117.5,1,0,1,0,0,19,0,5,6,5,10.8,0,5,6,5,12.0,10.8,1.74,Graduate
6234,39,1,9991,0,133.1,113.5,0,0,1,1,0,70,0,5,6,0,0.0,0,5,5,0,0.0,15.5,-4.06,Dropout
85664,39,1,9991,0,133.1,111.1,0,0,1,1,0,27,0,5,7,0,0.0,0,5,5,0,0.0,7.6,0.32,Graduate
15985,17,4,9147,1,118.0,111.7,0,0,1,0,1,20,0,5,8,5,11.8,0,5,6,5,11.6,8.9,3.51,Graduate
28021,44,1,9085,1,140.0,140.0,1,0,1,0,0,19,0,6,13,2,14.5,0,6,12,2,11.5,16.2,-0.92,Enrolled
34461,39,1,8014,0,133.1,148.5,0,0,1,0,0,39,0,6,6,6,13.166666666666666,0,6,6,6,14.0,8.9,3.51,Graduate
23697,17,1,9254,1,130.0,123.6,1,1,0,0,0,20,0,6,11,3,11.666666666666666,0,6,15,2,11.5,7.6,0.32,Dropout
47666,17,6,9500,1,136.0,124.7,1,0,1,0,1,18,0,7,9,7,15.116666666666667,0,8,12,8,15.083333333333334,15.5,-4.06,Graduate
123361,39,1,9853,1,133.1,97.0,0,0,1,0,0,35,0,6,8,4,12.5,0,6,6,5,12.0,7.6,0.32,Graduate
73956,39,1,9003,1,120.0,120.0,0,0,1,1,0,28,0,6,13,3,11.0,0,6,10,1,11.0,15.5,-4.06,Dropout
3686,39,1,9003,1,133.1,115.5,0,0,1,0,0,25,0,6,12,4,11.25,0,6,10,4,12.6,12.4,1.79,Enrolled
75936,1,2,9773,1,125.0,121.1,1,0,1,0,0,19,0,6,7,6,12.333333333333334,0,6,6,6,12.833333333333334,9.4,-3.12,Graduate
98574,1,2,9147,1,125.0,124.2,1,0,1,0,0,19,0,5,8,4,10.75,0,5,9,4,11.0,7.6,0.32,Graduate
117456,39,1,8014,0,130.0,116.0,1,0,1,0,1,44,0,6,7,6,12.666666666666666,0,6,6,6,12.833333333333334,12.7,-1.7,Graduate
100113,39,1,9991,0,140.0,120.0,0,0,1,0,0,28,0,5,9,4,11.25,0,5,6,5,11.4,9.4,-3.12,Graduate
7271,7,1,9500,1,140.0,120.0,0,1,1,0,0,23,0,8,11,7,11.328571428571427,0,8,11,7,11.328571428571427,12.7,-1.7,Graduate
43795,17,1,9085,1,120.0,115.8,0,0,1,0,0,21,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06,Dropout
18567,39,1,8014,0,120.0,120.0,0,0,1,0,1,37,0,6,10,4,12.5,0,6,10,4,11.25,12.7,-1.7,Enrolled
60202,17,1,9773,1,130.0,121.5,0,0,1,1,0,22,0,6,8,5,13.0,0,6,7,6,13.285714285714286,15.5,-4.06,Graduate
45220,1,1,9147,1,140.0,122.8,1,0,1,1,0,20,0,5,11,2,10.5,0,5,12,0,0.0,9.4,-3.12,Dropout
112619,17,1,9238,1,133.1,117.0,0,0,1,0,1,19,0,6,7,6,12.833333333333334,0,6,7,6,11.666666666666666,11.1,2.02,Graduate
70750,39,1,9130,1,150.0,130.0,0,0,1,1,0,31,0,5,8,3,13.0,0,5,9,3,11.666666666666666,9.4,-3.12,Dropout
6270,1,2,9853,1,133.1,107.0,0,0,1,0,0,21,0,6,6,6,14.0,0,6,8,5,14.142857142857142,8.9,3.51,Enrolled
107819,17,3,9085,1,121.0,111.1,1,0,1,0,0,19,0,6,9,3,13.666666666666666,0,6,11,2,14.5,16.2,-0.92,Graduate
115007,17,5,9773,1,122.0,126.7,1,0,1,0,0,19,0,6,8,4,11.0,0,6,8,5,12.0,9.4,-3.12,Graduate
113086,39,1,9119,1,133.1,121.7,0,0,1,1,0,30,0,5,6,0,0.0,0,5,5,0,0.0,10.8,1.74,Graduate
98251,1,1,9500,1,125.0,114.5,0,0,1,0,0,19,0,7,7,7,13.857142857142858,0,8,9,8,14.955555555555556,11.1,2.02,Graduate
106778,39,1,9147,1,133.1,135.1,0,0,1,0,0,61,0,5,0,0,0.0,0,5,0,0,0.0,15.5,-4.06,Graduate
30634,43,1,171,1,134.0,125.0,1,0,0,1,0,29,0,0,0,0,0.0,0,0,6,0,0.0,10.8,1.74,Dropout
126971,17,1,9773,1,120.0,117.9,0,0,1,0,1,19,0,6,6,6,13.833333333333334,0,6,6,6,12.5,8.9,3.51,Graduate
87867,51,1,9119,1,130.0,135.0,0,0,1,0,0,26,0,5,6,0,0.0,0,5,6,0,0.0,11.1,2.02,Graduate
57436,39,1,9991,0,120.0,147.8,0,0,1,1,0,27,0,5,5,0,0.0,0,5,5,0,0.0,9.4,-3.12,Dropout
82344,17,3,9500,1,133.0,128.3,1,0,1,0,1,18,0,7,7,7,14.757142857142856,0,8,8,8,15.366666666666667,15.5,-4.06,Graduate
101993,1,4,9500,1,141.0,126.5,1,0,1,0,1,19,0,8,8,8,12.88625,0,8,9,8,12.88625,9.4,-3.12,Graduate
50456,1,1,9238,1,133.1,130.0,0,0,1,0,0,18,0,6,9,6,11.833333333333334,0,6,8,5,11.0,7.6,0.32,Enrolled
104469,1,1,9085,1,127.0,122.8,1,0,1,0,1,18,0,5,6,5,12.8,0,5,5,5,14.0,10.8,1.74,Graduate
57468,1,1,9147,1,131.0,135.9,0,0,1,1,0,18,0,5,6,5,12.2,0,5,6,5,12.6,16.2,-0.92,Enrolled
69438,39,1,9500,1,133.1,100.0,0,0,1,0,0,25,0,7,15,1,12.0,0,7,0,0,0.0,16.2,-0.92,Dropout
6516,39,1,9254,1,133.1,101.0,0,1,1,1,0,25,0,6,6,0,0.0,0,6,6,0,0.0,15.5,-4.06,Dropout
59313,1,2,9238,1,136.0,133.5,1,0,1,0,1,19,0,6,10,5,12.666666666666666,0,6,8,5,12.4,11.1,2.02,Graduate
2324,39,1,8014,0,150.0,126.0,0,0,1,0,0,33,0,6,7,6,12.166666666666666,0,6,10,6,11.0,7.6,0.32,Graduate
28816,39,1,9670,1,133.1,120.0,0,0,1,1,0,27,0,6,10,4,11.25,0,6,10,3,13.0,12.7,-1.7,Dropout
65518,1,3,9773,1,126.0,118.7,1,0,1,1,0,19,0,6,6,6,14.166666666666666,0,6,6,6,13.666666666666666,12.4,1.79,Graduate
120348,17,1,9147,1,126.0,127.0,0,0,1,0,1,20,0,5,8,4,11.25,0,5,8,3,11.0,7.6,0.32,Graduate
78594,1,4,9773,1,125.0,122.5,1,0,1,0,1,20,0,6,6,6,13.833333333333334,0,6,9,6,12.833333333333334,13.9,0.79,Graduate
125204,1,2,9147,1,122.0,115.2,1,0,1,0,0,19,0,5,7,5,12.666666666666666,0,5,8,5,13.0,15.5,-4.06,Graduate
76535,1,1,9238,1,133.1,116.0,1,0,1,0,1,19,0,6,7,6,12.857142857142858,0,6,6,6,12.666666666666666,16.2,-0.92,Graduate
38307,1,1,9254,1,138.0,131.1,1,0,1,1,0,20,0,6,7,6,12.857142857142858,0,6,6,4,11.8,8.9,3.51,Enrolled
102901,1,1,9853,1,132.0,133.1,1,0,1,0,0,18,0,6,9,5,13.6,0,6,8,5,11.4,9.4,-3.12,Graduate
107989,39,1,9003,1,133.1,107.5,0,0,0,0,0,35,0,6,6,0,0.0,0,6,8,0,0.0,15.5,-4.06,Graduate
70660,39,1,9147,1,110.0,125.7,0,0,0,0,0,35,0,5,14,2,11.5,0,5,14,3,11.0,10.8,1.74,Dropout
75784,1,1,9773,1,147.0,134.7,0,0,1,0,0,18,0,6,7,6,13.666666666666666,0,6,6,6,13.5,12.7,-1.7,Graduate
76841,17,1,9238,1,133.1,132.0,0,0,1,1,0,21,0,6,8,6,12.625,0,6,8,6,14.0,12.7,-1.7,Graduate
27656,17,2,9853,1,139.0,128.5,1,0,1,0,0,18,0,6,10,4,11.5,0,6,14,1,10.0,10.8,1.74,Dropout
43829,17,6,9085,1,131.0,130.8,1,0,1,0,0,21,0,5,7,5,14.4,0,5,8,5,13.625,7.6,0.32,Graduate
57048,7,1,9853,1,140.0,140.0,0,0,0,0,0,23,0,6,12,0,0.0,0,6,0,0,0.0,12.7,-1.7,Dropout
41683,43,3,9254,1,110.0,107.3,1,0,0,0,0,34,0,6,13,2,10.5,0,6,11,5,11.2,7.6,0.32,Graduate
126129,39,1,9003,1,140.0,101.5,1,1,0,1,0,26,0,6,6,0,0.0,0,6,6,0,0.0,12.4,1.79,Graduate
6760,1,4,9085,1,126.0,126.0,1,0,1,0,0,21,0,6,0,0,0.0,0,6,0,0,0.0,9.4,-3.12,Dropout
33100,1,1,9670,1,120.0,118.3,0,0,0,1,0,18,0,6,7,5,12.8,0,6,9,4,13.0,8.9,3.51,Enrolled
49425,1,1,9670,1,106.0,105.9,0,0,1,0,1,21,0,6,8,6,13.5,0,6,10,5,12.0,11.1,2.02,Graduate
123333,17,1,9238,1,120.0,113.0,1,0,1,0,1,20,0,6,8,6,11.714285714285714,0,6,8,6,12.625,16.2,-0.92,Graduate
31814,1,1,9500,1,131.0,126.3,0,0,1,1,0,19,0,7,11,7,12.492857142857144,0,8,10,8,11.7125,15.5,-4.06,Graduate
115947,1,1,9238,1,133.1,99.0,0,0,1,0,1,21,0,6,7,6,13.0,0,6,8,5,14.333333333333334,11.1,2.02,Graduate
108432,1,1,9085,1,131.0,139.8,0,0,1,0,0,19,0,5,5,5,13.6,0,5,6,5,12.6,9.4,-3.12,Graduate
52459,1,1,9500,1,136.0,119.3,1,0,1,0,1,18,0,8,8,7,13.214285714285714,0,8,8,7,13.214285714285714,12.7,-1.7,Graduate
10744,17,1,9238,1,133.1,115.0,0,0,1,0,0,19,0,6,11,5,11.0,0,6,12,3,12.0,16.2,-0.92,Enrolled
89076,1,2,9773,1,140.0,141.7,1,0,1,0,1,19,0,6,6,6,13.333333333333334,0,6,6,6,12.5,8.9,3.51,Graduate
8686,39,1,9853,1,133.1,128.2,0,1,1,0,0,31,0,6,0,0,0.0,0,6,0,0,0.0,10.8,1.74,Dropout
119488,17,3,9070,1,128.0,134.4,1,0,1,0,1,18,0,6,6,6,13.0,0,6,6,6,12.0,12.4,1.79,Graduate
111941,1,1,171,1,150.0,134.6,1,0,1,0,0,20,0,0,0,0,0.0,0,0,0,0,0.0,9.4,-3.12,Graduate
6186,43,1,9773,1,133.1,123.0,1,0,1,0,0,22,0,6,7,6,13.333333333333334,0,6,6,6,12.5,7.6,0.32,Graduate
74709,1,1,9773,1,156.0,136.8,1,0,1,0,0,18,0,6,6,6,15.0,0,6,6,6,13.333333333333334,11.1,2.02,Graduate
15825,1,1,9238,1,111.0,112.3,0,0,1,0,0,19,0,6,6,6,13.833333333333334,0,6,7,6,13.714285714285714,12.7,-1.7,Graduate
53523,1,1,9500,1,148.0,137.4,0,0,1,1,0,18,0,7,7,7,14.842857142857143,0,8,9,8,14.38888888888889,16.2,-0.92,Graduate
94545,1,1,9773,1,143.0,133.1,0,1,0,0,0,18,0,6,7,5,13.0,0,6,8,6,11.666666666666666,8.9,3.51,Graduate
58469,39,1,9119,1,133.1,120.0,0,1,0,1,0,25,0,5,7,4,11.75,0,5,10,0,0.0,16.2,-0.92,Dropout
114791,17,2,9500,1,148.0,133.5,1,0,1,0,1,18,0,7,7,7,13.742857142857144,0,8,9,8,14.47777777777778,12.7,-1.7,Graduate
25057,1,1,9238,1,135.0,129.0,1,0,1,0,1,19,0,6,7,6,11.833333333333334,0,6,6,6,11.5,9.4,-3.12,Graduate
92291,1,1,9254,1,117.0,113.1,1,0,1,0,0,20,0,6,11,3,10.5,0,6,10,3,10.666666666666666,10.8,1.74,Graduate
51071,43,1,9003,1,149.0,156.1,1,0,0,1,0,29,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06,Dropout
35647,43,1,9991,0,133.1,128.2,1,0,1,1,0,30,0,5,5,0,0.0,0,5,5,0,0.0,7.6,0.32,Dropout
25195,1,1,9500,1,125.0,122.2,0,0,1,0,0,18,0,7,7,6,13.766666666666666,0,8,12,7,12.5,15.5,-4.06,Enrolled
96780,1,1,9085,1,133.1,128.2,1,0,1,0,0,22,0,5,6,0,0.0,0,5,5,0,0.0,7.6,0.32,Graduate
13451,1,1,9238,1,133.1,101.0,0,0,1,0,0,19,0,6,12,0,0.0,0,6,0,0,0.0,15.5,-4.06,Dropout
64256,1,1,171,1,130.0,119.1,1,0,1,0,0,23,0,0,0,0,0.0,0,0,0,0,0.0,7.6,0.32,Graduate
82679,1,2,9500,1,133.1,119.0,1,0,1,0,1,18,0,8,8,7,12.285714285714286,0,8,8,7,12.285714285714286,10.8,1.74,Graduate
18509,39,1,9991,0,120.0,120.0,1,0,1,1,0,32,0,5,5,5,12.8,0,5,5,5,12.4,7.6,0.32,Graduate
118472,1,1,9773,1,147.0,135.8,0,1,1,0,0,20,0,6,7,5,13.5,0,6,7,6,12.714285714285714,13.9,0.79,Graduate
15245,16,3,9085,1,140.0,124.6,1,0,1,0,1,19,0,5,13,4,14.5,0,5,6,5,13.6,9.4,-3.12,Graduate
82659,1,1,9254,1,121.0,114.3,0,0,1,0,1,20,0,6,8,6,11.666666666666666,0,6,9,5,12.2,12.7,-1.7,Graduate
65946,1,3,9085,1,137.0,136.2,1,0,1,0,0,18,0,5,6,5,13.6,0,5,6,5,14.2,10.8,1.74,Graduate
92625,39,1,9991,0,120.0,95.7,0,0,0,0,0,27,0,5,5,0,0.0,0,5,5,0,0.0,15.5,-4.06,Graduate
59079,39,1,9238,1,133.1,97.0,0,1,0,0,0,30,0,6,7,0,0.0,0,5,6,0,0.0,10.8,1.74,Dropout
16774,39,1,9254,1,130.0,107.8,1,0,1,0,0,24,0,6,18,3,11.333333333333334,0,6,15,2,11.5,7.6,0.32,Enrolled
106435,17,2,9500,1,130.0,126.2,1,0,1,0,1,19,0,7,7,7,12.4,0,8,11,6,12.8,11.1,2.02,Graduate
5748,39,1,9119,1,133.1,134.8,0,0,1,1,0,31,0,5,11,1,12.0,0,5,9,0,0.0,16.2,-0.92,Dropout
100927,39,1,9147,1,133.1,120.0,1,0,0,0,0,41,0,5,10,5,11.0,0,5,9,3,11.0,9.4,-3.12,Graduate
34516,51,1,9070,1,130.0,120.0,0,0,1,0,0,30,6,11,11,10,13.0,3,8,12,10,12.8,11.1,2.02,Enrolled
80728,1,4,9238,1,140.0,133.6,1,0,1,0,0,19,0,6,6,6,13.0,0,6,9,6,13.0,12.4,1.79,Graduate
17990,1,2,9254,1,116.0,111.1,1,1,0,0,0,21,0,6,6,6,12.166666666666666,0,6,8,4,11.75,8.9,3.51,Dropout
1176,1,3,9500,1,130.0,124.0,1,0,1,0,1,20,0,7,7,5,12.414285714285713,0,7,7,7,12.414285714285713,10.8,1.74,Enrolled
79668,44,1,9130,1,140.0,140.0,1,0,1,1,0,21,0,6,8,6,13.285714285714286,0,6,11,5,13.0,12.4,1.79,Graduate
93100,42,1,9556,1,140.0,120.0,0,0,1,0,0,31,0,7,0,0,0.0,0,8,0,0,0.0,12.7,-1.7,Graduate
5175,18,4,9500,1,130.0,126.7,1,0,1,0,0,18,0,7,8,7,13.6875,0,8,9,8,15.622222222222222,13.9,0.79,Dropout
3617,7,1,9147,1,130.0,130.0,0,0,0,1,0,25,0,5,8,0,0.0,0,5,9,0,0.0,12.7,-1.7,Dropout
71999,17,3,9147,1,121.0,115.5,1,0,1,1,0,18,0,5,7,5,11.6,0,5,5,4,11.5,12.4,1.79,Graduate
46498,17,4,9773,1,135.0,129.9,1,0,1,0,1,18,0,6,7,6,13.666666666666666,0,6,7,6,13.0,10.8,1.74,Graduate
35804,1,1,9254,1,121.0,126.1,1,1,1,0,0,23,0,6,8,2,10.0,0,6,7,1,11.0,9.4,-3.12,Enrolled
60453,39,1,9147,1,160.0,110.0,1,0,1,0,0,26,0,5,12,3,11.666666666666666,0,5,12,2,11.0,9.4,-3.12,Enrolled
11335,17,5,9147,1,132.0,119.1,1,0,1,0,1,19,0,5,7,4,12.0,0,5,7,5,11.8,7.6,0.32,Graduate
76012,16,6,9853,1,121.0,121.0,1,0,1,0,0,19,0,6,8,5,12.6,0,6,11,3,11.666666666666666,9.4,-3.12,Dropout
107542,1,1,9773,1,131.0,135.9,0,0,1,0,0,18,0,6,6,6,13.166666666666666,0,6,7,6,14.285714285714286,12.4,1.79,Graduate
55726,1,1,9254,1,131.0,129.0,1,0,1,0,0,18,0,6,6,6,11.333333333333334,0,6,6,0,0.0,9.4,-3.12,Dropout
98107,7,1,9003,1,130.0,130.0,1,1,0,1,0,27,0,7,19,7,12.153846153846152,0,8,12,5,11.98,15.5,-4.06,Graduate
125252,39,1,9991,0,133.1,134.1,1,0,0,1,0,49,0,5,5,0,0.0,0,5,5,0,0.0,7.6,0.32,Graduate
111559,39,1,9991,0,130.0,170.0,0,0,1,0,0,34,0,5,5,5,11.6,0,5,10,4,11.75,9.4,-3.12,Graduate
94562,17,5,9070,1,122.0,124.8,0,0,0,0,0,21,0,6,0,0,0.0,0,6,0,0,0.0,10.8,1.74,Graduate
96704,1,1,9500,1,140.0,141.5,1,0,1,0,0,18,0,8,8,8,13.385,0,8,8,8,13.385,9.4,-3.12,Graduate
83143,1,2,9500,1,118.0,115.1,1,0,1,0,0,19,0,7,8,6,12.565,0,7,9,5,12.16,12.4,1.79,Graduate
29826,1,1,9773,1,120.0,118.1,0,0,1,0,0,18,0,6,8,5,12.0,0,6,10,5,11.4,16.2,-0.92,Enrolled
101246,43,1,9500,1,110.0,110.0,0,0,1,0,0,23,0,7,8,7,12.914285714285713,0,8,8,8,14.25,16.2,-0.92,Graduate
71579,1,1,9773,1,134.0,128.4,1,0,1,1,1,19,0,6,6,6,12.666666666666666,0,6,8,5,13.0,10.8,1.74,Graduate
54272,17,2,9773,1,124.0,122.3,1,0,1,0,1,18,0,6,7,6,13.857142857142858,0,6,7,6,14.285714285714286,13.9,0.79,Graduate
116615,17,1,9147,1,131.0,118.4,1,0,1,1,0,19,0,5,5,0,0.0,0,5,5,0,0.0,12.7,-1.7,Graduate
47026,16,4,9147,1,122.0,120.1,1,0,1,0,1,19,0,5,7,5,11.0,0,5,7,5,11.6,8.9,3.51,Enrolled
37012,17,1,9147,1,123.0,118.4,0,0,0,0,0,18,0,5,5,2,13.0,0,5,5,0,0.0,9.4,-3.12,Dropout
5832,1,2,9500,1,122.0,119.8,1,0,1,0,0,18,0,8,8,8,12.92875,0,8,8,8,12.92875,9.4,-3.12,Dropout
